"Chteau Cos d'Estournel","Bordeaux Red Blends",varietal
"Chateau Grand-Puy Ducasse","Bordeaux Red Blends",varietal
"Château Leoville Las Cases","Bordeaux Red Blends",varietal
"Chteau Carbonnieux","Smillon-Sauvignon Blanc Blend",varietal
"Chateau Edmus","Bordeaux Red Blends",varietal
"Chteau Gueyrosse","Bordeaux Red Blends",varietal
"Chteau Haut-Segottes","Bordeaux Red Blends",varietal
"La Grange Neuve de Figeac","Bordeaux Red Blends",varietal
"Tertre Rteboeuf","Bordeaux Red Blends",varietal
"Rocca di Fabbri","Red Blend",varietal
Colpetrone,Sagrantino,varietal
"Fabbri di Rocco","Red Wine",varietal
Scacciadiavoli,Sagrantino,varietal
Barberani,"Sangiovese Blend",varietal
Moretti,"Sangiovese Blend",varietal
Sportoletti,"Other Red Blends",varietal
Moroder,"Other Red Blends",varietal
"La Distesa","Red Wine",varietal
"Oasi Degli Angeli",Montepulciano,varietal
"Azienda Agricola Claudio Morelli","Vernaccia Nera",varietal
"Azienda Agrituristica Fiorano",Sangiovese,varietal
"Casale Della Ioria",Cesanese,varietal
"Vigneti Massimi Berucci",Cesanese,varietal
"Casale Cento Corvi","Red Wine",varietal
"Casale Del Giglio",Syrah,varietal
"Colle Picchioni","Bordeaux Red Blends",varietal
"Villa Simone","Sangiovese Blend",varietal
"Cascina Bruciata",Nebbiolo,varietal
Ceretto,Nebbiolo,varietal
"Giuseppe Cortese",Nebbiolo,varietal
"Paitin di Pasquero Elia",Nebbiolo,varietal
"Andrea Oberto",Nebbiolo,varietal
"Azienda Agricola Elvio Cogno",Nebbiolo,varietal
"Famiglia Anselma",Nebbiolo,varietal
"Fratelli Alessandria",Nebbiolo,varietal
"Lugi Baudana",Nebbiolo,varietal
"Poderi Aldo Conterno",Nebbiolo,varietal
Braida,Barbera,varietal
"Agricola Brandini",Barbera,varietal
"Roberto Ferraris",Barbera,varietal
Iuli,Barbera,varietal
"I Quaranta",Barbera,varietal
Roagna,Barbera,varietal
"Anna Maria Abbona",Dolcetto,varietal
"Francesco Boschis",Dolcetto,varietal
"Agricola Brandini",Dolcetto,varietal
Cavallotto,Dolcetto,varietal
"Domenico Clerico",Dolcetto,varietal
"Silvio Grasso di Grasso Alessio Federico",Dolcetto,varietal
Massolino,Dolcetto,varietal
Massolino,Nebbiolo,varietal
"Cantina dei Produttori Nebbiolo di Carema",Nebbiolo,varietal
Antoniolo,Nebbiolo,varietal
" Valdo","Champagne Blend",varietal
Bellavista,"Champagne Blend",varietal
Cavalleri,Chardonnay,varietal
"Lantieri De Paratico",Chardonnay,varietal
"Cantina Majolini",Chardonnay,varietal
Bastianich,Chardonnay,varietal
Ferrari,Chardonnay,varietal
"Franco Martinetti",Chardonnay,varietal
"Germano Ettore",Chardonnay,varietal
Vivaldi,Chardonnay,varietal
"Francesco Drusian","Pinot Noir",varietal
"Francesco Vezzelli","Red Blend",varietal
"Barbolini Lancillotto",Lambrusco,varietal
"Ca' Montanari",Lambrusco,varietal
"Azienda Agricola Zucchi",Lambrusco,varietal
Bastianich,Refosco,varietal
Bisson,Ciliegiolo,varietal
"Cantina Giardino","Coda di Volpe",varietal
"Corte Gardoni","Valpolicella Blend",varietal
"Poggio Trevvalle",Sangiovese,varietal
"San Giovanni",Barbera,varietal
Bastianich,Friulano,varietal
Bastianich,"Tocai Friulano",varietal
Bastianich,"Malvasia Bianca",varietal
Bastianich,"Malvasia Istriana",varietal
Zidarich,"Malvasia Bianca",varietal
Bastianich,"Pinot Grigio",varietal
Bastianich,"Ribolla Gialla",varietal
